timestamp,action,battery,linkquality,voltage,timestamp
2025-07-01T08:53:40.109512,single,100,255,3000,2025-07-01T08:53:40.109512
2025-07-01T08:53:51.410045,double,100,255,3000,2025-07-01T08:53:51.410045
2025-07-01T08:53:53.213123,single,100,255,3000,2025-07-01T08:53:53.213123
2025-07-01T08:53:54.401846,single,100,255,3000,2025-07-01T08:53:54.401846
2025-07-01T08:53:55.695333,single,100,255,3000,2025-07-01T08:53:55.695333
2025-07-01T08:53:57.048027,single,100,255,3000,2025-07-01T08:53:57.048027
2025-07-01T08:53:58.772165,single,100,255,3000,2025-07-01T08:53:58.772165
2025-07-01T08:54:00.188009,single,100,255,3000,2025-07-01T08:54:00.188009
2025-07-01T08:54:01.428185,single,100,255,3000,2025-07-01T08:54:01.428185
2025-07-01T08:54:02.578245,single,100,255,3000,2025-07-01T08:54:02.578245
2025-07-01T08:54:03.561676,single,100,255,3000,2025-07-01T08:54:03.561676
2025-07-01T08:54:04.869791,single,100,255,3000,2025-07-01T08:54:04.869791
2025-07-01T08:54:06.089453,single,100,255,3000,2025-07-01T08:54:06.089453
2025-07-01T08:54:07.245087,single,100,255,3000,2025-07-01T08:54:07.245087
2025-07-01T08:54:08.524420,single,100,255,3000,2025-07-01T08:54:08.524420
2025-07-01T08:54:09.873178,single,100,255,3000,2025-07-01T08:54:09.873178
2025-07-01T08:54:11.105917,single,100,255,3000,2025-07-01T08:54:11.105917
2025-07-01T08:54:12.218845,single,100,255,3000,2025-07-01T08:54:12.218845
2025-07-01T08:54:13.209734,single,100,255,3000,2025-07-01T08:54:13.209734
2025-07-01T08:54:14.368397,single,100,255,3000,2025-07-01T08:54:14.368397
2025-07-01T08:54:15.460665,single,100,255,3000,2025-07-01T08:54:15.460665
2025-07-01T09:02:08.011376,single,100,255,3000,2025-07-01T09:02:08.011376
2025-07-01T09:02:09.107361,single,100,255,3000,2025-07-01T09:02:09.107361
2025-07-01T09:02:10.023491,double,100,255,3000,2025-07-01T09:02:10.023491
2025-07-01T09:02:10.985014,single,100,255,3000,2025-07-01T09:02:10.985014
2025-07-01T09:02:20.878739,single,100,255,3000,2025-07-01T09:02:20.878739
2025-07-01T09:02:23.967955,single,100,255,3000,2025-07-01T09:02:23.967955
2025-07-01T09:02:28.284623,double,100,255,3000,2025-07-01T09:02:28.284623
2025-07-01T09:02:31.306282,single,100,255,3000,2025-07-01T09:02:31.306282
2025-07-01T09:02:32.699915,single,100,255,3000,2025-07-01T09:02:32.699915
2025-07-01T09:02:33.845225,single,100,255,3000,2025-07-01T09:02:33.845225
2025-07-01T09:02:35.269452,single,100,255,3000,2025-07-01T09:02:35.269452
2025-07-01T09:02:36.545611,single,100,255,3000,2025-07-01T09:02:36.545611
2025-07-01T09:11:15.022252,single,100,255,3000,2025-07-01T09:11:15.022252
2025-07-01T09:11:16.647844,double,100,244,3000,2025-07-01T09:11:16.647844
2025-07-01T09:11:19.703356,single,100,244,3000,2025-07-01T09:11:19.703356
2025-07-01T09:11:21.206430,single,100,240,3000,2025-07-01T09:11:21.206430
2025-07-01T09:11:23.062928,single,100,236,3000,2025-07-01T09:11:23.062928
2025-07-01T09:11:24.057018,double,100,244,3000,2025-07-01T09:11:24.057018
2025-07-01T09:11:26.753421,single,100,255,3000,2025-07-01T09:11:26.753421
2025-07-01T09:11:28.333813,single,100,252,3000,2025-07-01T09:11:28.333813
2025-07-01T09:11:29.990587,single,100,244,3000,2025-07-01T09:11:29.990587
2025-07-01T09:11:31.618782,single,100,255,3000,2025-07-01T09:11:31.618782
2025-07-01T09:11:32.574185,double,100,255,3000,2025-07-01T09:11:32.574185
2025-07-01T09:11:34.484940,single,100,255,3000,2025-07-01T09:11:34.484940
2025-07-01T09:11:36.450748,single,100,244,3000,2025-07-01T09:11:36.450748
2025-07-01T09:11:39.960654,single,100,236,3000,2025-07-01T09:11:39.960654
2025-07-01T09:11:41.656209,single,100,244,3000,2025-07-01T09:11:41.656209
2025-07-01T09:11:42.821585,single,100,255,3000,2025-07-01T09:11:42.821585
2025-07-01T09:11:45.132942,single,100,255,3000,2025-07-01T09:11:45.132942
2025-07-01T09:11:47.468893,single,100,255,3000,2025-07-01T09:11:47.468893
2025-07-01T09:11:48.903076,single,100,236,3000,2025-07-01T09:11:48.903076
2025-07-01T09:11:53.775733,single,100,216,3000,2025-07-01T09:11:53.775733
2025-07-01T09:11:56.591132,single,100,228,3000,2025-07-01T09:11:56.591132
2025-07-01T09:11:59.776735,single,100,240,3000,2025-07-01T09:11:59.776735
2025-07-01T09:12:02.682427,single,100,224,3000,2025-07-01T09:12:02.682427
2025-07-01T09:12:04.531251,single,100,216,3000,2025-07-01T09:12:04.531251
2025-07-01T09:12:07.030879,single,100,216,3000,2025-07-01T09:12:07.030879
2025-07-01T09:12:09.493831,single,100,208,3000,2025-07-01T09:12:09.493831
2025-07-01T09:12:13.857788,single,100,228,3000,2025-07-01T09:12:13.857788
2025-07-01T09:12:15.344686,double,100,232,3000,2025-07-01T09:12:15.344686
2025-07-01T09:12:17.614469,single,100,240,3000,2025-07-01T09:12:17.614469
2025-07-01T09:12:19.071768,single,100,255,3000,2025-07-01T09:12:19.071768
2025-07-01T09:15:28.054593,double,100,255,3000,2025-07-01T09:15:28.054593
2025-07-01T09:15:29.047497,single,100,255,3000,2025-07-01T09:15:29.047497
2025-07-01T09:15:30.166890,single,100,255,3000,2025-07-01T09:15:30.166890
2025-07-01T09:15:31.345677,single,100,248,3000,2025-07-01T09:15:31.345677
2025-07-01T09:15:32.383867,double,100,255,3000,2025-07-01T09:15:32.383867
2025-07-01T09:15:34.004772,single,100,255,3000,2025-07-01T09:15:34.004772
2025-07-01T09:15:34.897347,single,100,255,3000,2025-07-01T09:15:34.897347
2025-07-01T09:15:35.861824,single,100,255,3000,2025-07-01T09:15:35.861824
2025-07-01T09:15:36.836375,single,100,255,3000,2025-07-01T09:15:36.836375
2025-07-01T09:15:37.786916,single,100,255,3000,2025-07-01T09:15:37.786916
2025-07-01T09:15:39.072543,single,100,255,3000,2025-07-01T09:15:39.072543
2025-07-01T09:15:40.323680,single,100,252,3000,2025-07-01T09:15:40.323680
2025-07-01T09:15:41.370927,single,100,240,3000,2025-07-01T09:15:41.370927
2025-07-01T09:15:42.347842,single,100,248,3000,2025-07-01T09:15:42.347842
2025-07-01T09:15:43.315327,single,100,255,3000,2025-07-01T09:15:43.315327
2025-07-01T09:15:44.471253,single,100,255,3000,2025-07-01T09:15:44.471253
2025-07-01T09:15:46.143851,double,100,255,3000,2025-07-01T09:15:46.143851
2025-07-01T09:15:48.422390,single,100,255,3000,2025-07-01T09:15:48.422390
2025-07-01T09:15:50.476281,single,100,255,3000,2025-07-01T09:15:50.476281
2025-07-01T09:15:51.610127,single,100,255,3000,2025-07-01T09:15:51.610127
2025-07-01T09:15:52.750800,single,100,255,3000,2025-07-01T09:15:52.750800
2025-07-01T09:15:54.011795,single,100,255,3000,2025-07-01T09:15:54.011795
2025-07-01T09:15:55.819600,single,100,255,3000,2025-07-01T09:15:55.819600
2025-07-01T09:15:58.703404,single,100,255,3000,2025-07-01T09:15:58.703404
2025-07-01T09:16:00.318716,single,100,255,3000,2025-07-01T09:16:00.318716
2025-07-01T09:16:01.420261,single,100,232,3000,2025-07-01T09:16:01.420261
2025-07-01T09:16:02.651636,single,100,244,3000,2025-07-01T09:16:02.651636
2025-07-01T09:16:07.778556,double,100,255,3000,2025-07-01T09:16:07.778556
2025-07-01T09:16:09.560060,single,100,255,3000,2025-07-01T09:16:09.560060
2025-07-01T09:16:10.465303,single,100,255,3000,2025-07-01T09:16:10.465303
2025-07-01T09:16:12.642522,single,100,255,3000,2025-07-01T09:16:12.642522
2025-07-01T09:16:15.107110,single,100,255,3000,2025-07-01T09:16:15.107110
2025-07-01T09:16:17.069008,single,100,255,3000,2025-07-01T09:16:17.069008
2025-07-01T09:16:18.438442,single,100,232,3000,2025-07-01T09:16:18.438442
2025-07-01T09:16:19.924083,single,100,228,3000,2025-07-01T09:16:19.924083
2025-07-01T09:16:20.789576,double,100,228,3000,2025-07-01T09:16:20.789576
2025-07-01T09:16:23.026040,single,100,252,3000,2025-07-01T09:16:23.026040
2025-07-01T09:16:24.902144,double,100,216,3000,2025-07-01T09:16:24.902144
2025-07-01T09:16:28.014495,single,100,208,3000,2025-07-01T09:16:28.014495
2025-07-01T09:16:29.358403,single,100,224,3000,2025-07-01T09:16:29.358403
2025-07-01T09:16:30.359394,single,100,228,3000,2025-07-01T09:16:30.359394
