min,request_count,is_anomaly
2025-06-24 10:57:00,6,False
2025-06-25 06:00:00,1,False
2025-06-25 06:03:00,1,False
2025-06-25 06:19:00,1,False
2025-06-25 06:24:00,1,False
2025-06-25 06:35:00,1,False
2025-06-25 06:36:00,1,False
2025-06-25 06:39:00,1,False
2025-06-25 07:01:00,1,False
2025-06-25 07:09:00,1,False
2025-06-25 07:32:00,1,False
2025-06-25 07:36:00,1,False
2025-06-25 07:54:00,2,False
2025-06-25 08:02:00,1,False
2025-06-25 08:06:00,1,False
2025-06-25 08:19:00,1,False
2025-06-25 08:26:00,1,False
2025-06-25 08:27:00,1,False
2025-06-25 08:42:00,1,False
2025-06-25 09:29:00,1,False
2025-06-25 09:37:00,1,False
2025-06-25 09:51:00,1,False
2025-06-25 09:55:00,2,False
2025-06-25 10:15:00,1,False
2025-06-25 10:20:00,1,False
2025-06-25 10:24:00,1,False
2025-06-25 10:27:00,1,False
2025-06-25 10:38:00,1,False
2025-06-25 10:41:00,1,False
2025-06-25 10:42:00,1,False
2025-06-25 11:08:00,1,False
2025-06-25 11:17:00,1,False
2025-06-25 11:25:00,2,False
2025-06-25 12:08:00,1,False
2025-06-25 12:23:00,1,False
2025-06-25 12:35:00,1,False
2025-06-25 12:41:00,1,False
2025-06-25 12:42:00,1,False
2025-06-25 12:46:00,1,False
2025-06-25 13:09:00,1,False
2025-06-25 13:39:00,2,False
2025-06-25 13:45:00,1,False
2025-06-25 14:10:00,1,False
2025-06-25 14:12:00,1,False
2025-06-25 14:15:00,1,False
2025-06-25 14:31:00,1,False
2025-06-25 14:56:00,1,False
2025-06-25 15:00:00,1,False
2025-06-25 15:12:00,1,False
2025-06-25 15:23:00,1,False
2025-06-25 15:34:00,1,False
2025-06-25 15:51:00,1,False
2025-06-25 15:57:00,1,False
2025-06-25 16:01:00,1,False
2025-06-25 16:12:00,1,False
2025-06-25 16:24:00,1,False
2025-06-25 16:36:00,1,False
2025-06-25 16:45:00,1,False
2025-06-25 16:53:00,1,False
2025-06-25 17:16:00,1,False
2025-06-25 17:21:00,2,False
2025-06-25 17:37:00,1,False
2025-06-25 17:44:00,1,False
2025-06-25 17:59:00,1,False
2025-06-25 18:09:00,1,False
2025-06-25 18:22:00,1,False
2025-06-25 18:26:00,1,False
2025-06-25 18:36:00,1,False
2025-06-25 18:38:00,1,False
2025-06-25 18:45:00,1,False
2025-06-25 19:04:00,1,False
2025-06-25 19:22:00,1,False
2025-06-25 19:23:00,1,False
2025-06-25 19:43:00,1,False
2025-06-25 19:56:00,1,False
2025-06-25 20:06:00,1,False
2025-06-25 20:12:00,1,False
2025-06-25 20:20:00,1,False
2025-06-25 20:24:00,1,False
2025-06-25 20:35:00,2,False
2025-06-25 21:04:00,1,False
2025-06-25 21:12:00,2,False
2025-06-25 21:23:00,1,False
2025-06-25 21:31:00,1,False
2025-06-25 21:33:00,1,False
2025-06-25 21:36:00,1,False
2025-06-25 21:46:00,1,False
